%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
1655121078335970569,1,1655121078335275888,/map,-0.0567949190736,0.0,1.15708756447,0.151861712337,0.0
1655121078428144594,2,1655121078427678108,/map,-0.0561207346618,0.0,1.17174625397,0.146586641669,0.0
1655121078522845185,3,1655121078522454977,/map,-0.0554848685861,0.0,1.18588912487,0.141428738832,0.0
1655121078620561116,4,1655121078620156049,/map,-0.0548851490021,0.0,1.19952785969,0.13638728857,0.0
1655121078722829155,5,1655121078722436904,/map,-0.0543195642531,0.0,1.21267402172,0.131461545825,0.0
1655121078822450008,6,1655121078821949958,/map,-0.0537862405181,0.0,1.22533905506,0.126650616527,0.0
1655121078923889586,7,1655121078923454046,/map,-0.0532834380865,0.0,1.2375344038,0.121953576803,0.0
1655121079026303159,8,1655121079025839090,/map,-0.0528095290065,0.0,1.24927139282,0.117369443178,0.0
1655121079122930983,9,1655121079122488021,/map,-0.0523629970849,0.0,1.26056110859,0.112897150218,0.0
1655121079224093696,10,1655121079223428964,/map,-0.0519424192607,0.0,1.27141463757,0.108535565436,0.0
1655121079324973632,11,1655121079324548959,/map,-0.0515464656055,0.0,1.28184294701,0.10428353399,0.0
1655121079417871958,12,1655121079417438030,/map,-0.0511738955975,0.0,1.29185700417,0.100139811635,0.0
1655121079526060425,13,1655121079525635004,/map,-0.0508235320449,0.0,1.30146729946,0.0961031466722,0.0
1655121079628210142,14,1655121079627763032,/map,-0.0203435663134,0.0,1.31068444252,0.0921722054482,0.0
1655121079724774695,15,1655121079724302053,/map,-0.0202119685709,0.0,1.31951904297,0.0883456394076,0.0
1655121079822081782,16,1655121079821610927,/map,-0.0498950146139,0.0,1.3279812336,0.0846220552921,0.0
1655121079927285992,17,1655121079926672935,/map,-0.0496231094003,0.0,1.3360812664,0.0810000225902,0.0
1655121080028073528,18,1655121080027621984,/map,-0.0493685118854,0.0,1.34382903576,0.0774781033397,0.0
1655121080126394507,19,1655121080125863075,/map,-0.0491304025054,0.0,1.35123455524,0.0740547925234,0.0
1655121080227070308,20,1655121080226471900,/map,-0.0489079989493,0.0,1.3583073616,0.0707286000252,0.0
1655121080324127565,21,1655121080323558092,/map,-0.0487005710602,0.0,1.36505723,0.0674979835749,0.0
1655121080423080882,22,1655121080422607898,/map,-0.0485074147582,0.0,1.37149333954,0.0643614009023,0.0
1655121080524319861,23,1655121080523837089,/map,-0.0205201022327,0.0,1.37762510777,0.0613172836602,0.0
1655121080625143539,24,1655121080624639987,/map,-0.0204352829605,0.0,1.38346147537,0.0583640597761,0.0
1655121080724317114,25,1655121080723860979,/map,-0.0203563645482,0.0,1.38901150227,0.0555001311004,0.0
1655121080827453030,26,1655121080827033996,/map,-0.0202830731869,0.0,1.39428389072,0.0527238957584,0.0
1655121080928245955,27,1655121080927826881,/map,-0.0202151443809,0.0,1.39928722382,0.0500337518752,0.0
1655121081024081723,28,1655121081023612022,/map,-0.0201523248106,0.0,1.40403008461,0.0474280826747,0.0
1655121081123551873,29,1655121081123013019,/map,-0.02009437792,0.0,1.40852057934,0.0449052639306,0.0
1655121081232798057,30,1655121081232239007,/map,-0.0200410783291,0.0,1.41276693344,0.0424636863172,0.0
1655121081323116463,31,1655121081322644948,/map,-0.0199922081083,0.0,1.41677713394,0.0401017181575,0.0
1655121081423201019,32,1655121081422708034,/map,-0.0199475623667,0.0,1.42055892944,0.0378177501261,0.0
1655121081523871293,33,1655121081523339033,/map,-0.0199069455266,0.0,1.42411994934,0.0356101617217,0.0
1655121081631936433,34,1655121081631505012,/map,-0.0198701713234,0.0,1.42746770382,0.0334773436189,0.0
1655121081729430444,35,1655121081729029893,/map,-0.0198370609432,0.0,1.43060946465,0.0314176902175,0.0
1655121081823360594,36,1655121081822947025,/map,-0.0198074411601,0.0,1.43355238438,0.0294295996428,0.0
1655121081922801640,37,1655121081922240972,/map,-0.0197811517864,0.0,1.43630349636,0.027511484921,0.0
1655121082024067600,38,1655121082023544073,/map,-0.0197580363601,0.0,1.43886971474,0.0256617628038,0.0
1655121082126640336,39,1655121082126219987,/map,-0.0197379458696,0.0,1.44125759602,0.0238788668066,0.0
1655121082226904841,40,1655121082226371049,/map,-0.0197207350284,0.0,1.44347369671,0.0221612360328,0.0
1655121082324698501,41,1655121082324239969,/map,-0.0197062697262,0.0,1.44552445412,0.0205073263496,0.0
1655121082427463205,42,1655121082426943063,/map,-0.0196944177151,0.0,1.44741606712,0.0189156048,0.0
1655121082524178262,43,1655121082523690938,/map,-0.0196850504726,0.0,1.44915449619,0.0173845533282,0.0
1655121082626294662,44,1655121082625823020,/map,-0.0196780506521,0.0,1.45074570179,0.0159126687795,0.0
1655121082723289239,45,1655121082722867965,/map,-0.019673300907,0.0,1.45219564438,0.0144984666258,0.0
1655121082822841483,46,1655121082822341918,/map,-0.0196706894785,0.0,1.45350968838,0.0131404763088,0.0
1655121082925786431,47,1655121082925313949,/map,-0.0196701083332,0.0,1.45469331741,0.0118372449651,0.0
1655121083021816224,48,1655121083021209001,/map,-0.0196714568883,0.0,1.45575213432,0.0105873383582,0.0
1655121083125504072,49,1655121083125056982,/map,-0.0196746345609,0.0,1.45669102669,0.00938933901489,0.0
1655121083241304721,50,1655121083240566968,/map,-0.0196795444936,0.0,1.45751523972,0.00824185088277,0.0
1655121083328958619,51,1655121083328582048,/map,-0.0196860991418,0.0,1.45822954178,0.00714349467307,0.0
1655121083426175515,52,1655121083425721883,/map,-0.0196942053735,0.0,1.45883882046,0.00609291298315,0.0
1655121083532934309,53,1655121083532447099,/map,-0.0197037830949,0.0,1.45934772491,0.00508876796812,0.0
1655121083625538930,54,1655121083625089883,/map,-0.0200239121914,0.0,1.45976066589,0.00412974087521,0.0
1655121083727712251,55,1655121083727267980,/map,-0.0200362224132,0.0,1.46008217335,0.00321453553624,0.0
1655121083827027907,56,1655121083826391935,/map,-0.0200497787446,0.0,1.46031630039,0.00234187603928,0.0
1655121083923677778,57,1655121083923197031,/map,-0.0200645104051,0.0,1.46046745777,0.00151050765999,0.0
1655121084022772164,58,1655121084022319078,/map,-0.0200803447515,0.0,1.46053934097,0.00071919709444,0.0
1655121084124356366,59,1655121084123936891,/map,-0.0200972110033,0.0,1.46053600311,-3.32671370415e-05,0.0
1655121084240155495,60,1655121084230632066,/map,-0.0201150495559,0.0,1.46046113968,-0.000748074846342,0.0
1655121084331433746,61,1655121084331001996,/map,-0.0201337914914,0.0,1.46031856537,-0.00142639409751,0.0
1655121084422524881,62,1655121084422063112,/map,-0.0201533790678,0.0,1.46011161804,-0.00206937105395,0.0
