%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
1655121958977023379,1,1655121958976459980,/map,-0.104407198727,0.0,1.10989940166,0.168395608664,0.0
1655121959065384060,2,1655121959064889907,/map,-0.102705419064,0.0,1.12617599964,0.162765711546,0.0
1655121959167317333,3,1655121959166980981,/map,-0.101107135415,0.0,1.14190137386,0.157254561782,0.0
1655121959262364920,4,1655121959262003898,/map,-0.0996052399278,0.0,1.15708756447,0.151861712337,0.0
1655121959425437979,5,1655121959425029993,/map,-0.0981932505965,0.0,1.17174625397,0.146586641669,0.0
1655121959503170509,6,1655121959502671003,/map,-0.0968652591109,0.0,1.18588912487,0.141428738832,0.0
1655121959569692405,7,1655121959569309949,/map,-0.0956158563495,0.0,1.19952785969,0.13638728857,0.0
1655121959664579988,8,1655121959664144039,/map,-0.0944401025772,0.0,1.21267402172,0.131461545825,0.0
1655121959762581011,9,1655121959762204885,/map,-0.0933334305882,0.0,1.22533905506,0.126650616527,0.0
1655121959863955074,10,1655121959863553047,/map,-0.0922916606069,0.0,1.2375344038,0.121953576803,0.0
1655121959964608326,11,1655121959964116096,/map,-0.0913109257817,0.0,1.24927139282,0.117369443178,0.0
1655121960066351270,12,1655121960065563917,/map,-0.0903876647353,0.0,1.26056110859,0.112897150218,0.0
1655121960168093726,13,1655121960167419910,/map,-0.0895185619593,0.0,1.27141463757,0.108535565436,0.0
1655121960259452299,14,1655121960258932113,/map,-0.0887005627155,0.0,1.28184294701,0.10428353399,0.0
1655121960358516813,15,1655121960358063936,/map,-0.0879308208823,0.0,1.29185700417,0.100139811635,0.0
1655121960467545621,16,1655121960467093944,/map,-0.0872066840529,0.0,1.30146729946,0.0961031466722,0.0
1655121960563262546,17,1655121960562841892,/map,-0.0353908203542,0.0,1.31068444252,0.0921722054482,0.0
1655121960664717465,18,1655121960664340972,/map,-0.0351183786988,0.0,1.31951904297,0.0883456394076,0.0
1655121960763771250,19,1655121960763294935,/map,-0.0852840691805,0.0,1.3279812336,0.0846220552921,0.0
1655121960869181108,20,1655121960868551015,/map,-0.0847192779183,0.0,1.3360812664,0.0810000225902,0.0
1655121961043070467,21,1655121961042164087,/map,-0.0841892808676,0.0,1.34382903576,0.0774781033397,0.0
1655121961112181518,22,1655121961110982894,/map,-0.08369230479,0.0,1.35123455524,0.0740547925234,0.0
1655121961179252398,23,1655121961178854942,/map,-0.0832266956568,0.0,1.3583073616,0.0707286000252,0.0
1655121961263643721,24,1655121961263088941,/map,-0.0827908739448,0.0,1.36505723,0.0674979835749,0.0
1655121961362837300,25,1655121961362365007,/map,-0.0823833793402,0.0,1.37149333954,0.0643614009023,0.0
1655121961462905791,26,1655121961462480068,/map,-0.0265739876777,0.0,1.37762510777,0.0613172836602,0.0
1655121961569807194,27,1655121961569339036,/map,-0.0264568403363,0.0,1.38346147537,0.0583640597761,0.0
1655121961664397487,28,1655121961663891077,/map,-0.0263476110995,0.0,1.38901150227,0.0555001311004,0.0
1655121961761964471,29,1655121961761349916,/map,-0.0262459237128,0.0,1.39428389072,0.0527238957584,0.0
1655121961863698014,30,1655121961863069057,/map,-0.0261514168233,0.0,1.39928722382,0.0500337518752,0.0
1655121961966775561,31,1655121961966305017,/map,-0.026063753292,0.0,1.40403008461,0.0474280826747,0.0
1655121962069861014,32,1655121962069284915,/map,-0.025982607156,0.0,1.40852057934,0.0449052639306,0.0
1655121962167395692,33,1655121962166870117,/map,-0.0259076729417,0.0,1.41276693344,0.0424636863172,0.0
1655121962262696432,34,1655121962262159109,/map,-0.0258386619389,0.0,1.41677713394,0.0401017181575,0.0
1655121962366767722,35,1655121962366239070,/map,-0.0257752966136,0.0,1.42055892944,0.0378177501261,0.0
1655121962460646501,36,1655121962460050106,/map,-0.0257173124701,0.0,1.42411994934,0.0356101617217,0.0
1655121962562414250,37,1655121962561634063,/map,-0.0256644580513,0.0,1.42746770382,0.0334773436189,0.0
1655121962661919361,38,1655121962661318063,/map,-0.0256164949387,0.0,1.43060946465,0.0314176902175,0.0
1655121962764334844,39,1655121962763860940,/map,-0.0255731958896,0.0,1.43355238438,0.0294295996428,0.0
1655121962861321613,40,1655121962860789060,/map,-0.0255343411118,0.0,1.43630349636,0.027511484921,0.0
1655121962964933824,41,1655121962964415073,/map,-0.0254997238517,0.0,1.43886971474,0.0256617628038,0.0
1655121963067361165,42,1655121963066754102,/map,-0.0254691448063,0.0,1.44125759602,0.0238788668066,0.0
1655121963164349727,43,1655121963164004087,/map,-0.0254424139857,0.0,1.44347369671,0.0221612360328,0.0
1655121963262608290,44,1655121963262202978,/map,-0.0254193488508,0.0,1.44552445412,0.0205073263496,0.0
1655121963360977776,45,1655121963360533952,/map,-0.025399774313,0.0,1.44741606712,0.0189156048,0.0
1655121963462506383,46,1655121963462112903,/map,-0.025383522734,0.0,1.44915449619,0.0173845533282,0.0
1655121963559461348,47,1655121963558978080,/map,-0.0253704339266,0.0,1.45074570179,0.0159126687795,0.0
1655121963662427583,48,1655121963662038087,/map,-0.0253603570163,0.0,1.45219564438,0.0144984666258,0.0
1655121963763930390,49,1655121963763494968,/map,-0.025353141129,0.0,1.45350968838,0.0131404763088,0.0
1655121963864597982,50,1655121963864059925,/map,-0.0253486447036,0.0,1.45469331741,0.0118372449651,0.0
1655121963963338003,51,1655121963962886095,/map,-0.0253467354923,0.0,1.45575213432,0.0105873383582,0.0
1655121964062564602,52,1655121964062103033,/map,-0.0253472793847,0.0,1.45669102669,0.00938933901489,0.0
1655121964182089476,53,1655121964181638956,/map,-0.0253501497209,0.0,1.45751523972,0.00824185088277,0.0
1655121964260219270,54,1655121964259619951,/map,-0.0253552291542,0.0,1.45822954178,0.00714349467307,0.0
1655121964363267897,55,1655121964362844944,/map,-0.0253624003381,0.0,1.45883882046,0.00609291298315,0.0
1655121964464639080,56,1655121964464181900,/map,-0.0253715515137,0.0,1.45934772491,0.00508876796812,0.0
1655121964563693785,57,1655121964563121080,/map,-0.0253825765103,0.0,1.45976066589,0.00412974087521,0.0
1655121964661775116,58,1655121964661293983,/map,-0.0253953691572,0.0,1.46008217335,0.00321453553624,0.0
1655121964762454530,59,1655121964762027978,/map,-0.0254098325968,0.0,1.46031630039,0.00234187603928,0.0
1655121964865708747,60,1655121964865242958,/map,-0.0254258699715,0.0,1.46046745777,0.00151050765999,0.0
1655121964966118530,61,1655121964965538024,/map,-0.0254433900118,0.0,1.46053934097,0.00071919709444,0.0
1655121965065636313,62,1655121965065119981,/map,-0.0254623033106,0.0,1.46053600311,-3.32671370415e-05,0.0
1655121965170822268,63,1655121965170119047,/map,-0.0258577167988,0.0,1.46046113968,-0.000748074846342,0.0
1655121965265220302,64,1655121965264821052,/map,-0.0258792713284,0.0,1.46031856537,-0.00142639409751,0.0
1655121965364095215,65,1655121965363351106,/map,-0.025901986286,0.0,1.46011161804,-0.00206937105395,0.0
1655121965466272634,66,1655121965465828895,/map,-0.0259257815778,0.0,1.45984375477,-0.00267812982202,0.0
1655121965567555441,67,1655121965567043066,/map,-0.0259505864233,0.0,1.45951843262,-0.00325377238914,0.0
1655121965664209123,68,1655121965663700103,/map,-0.0259763281792,0.0,1.45913863182,-0.00379737908952,0.0
1655121965767308470,69,1655121965766660928,/map,-0.0260029379278,0.0,1.45870769024,-0.00431000813842,0.0
1655121965867463867,70,1655121965867001056,/map,-0.0260303523391,0.0,1.45822846889,-0.00479269586504,0.0
1655121965967459244,71,1655121965967036962,/map,-0.0260585024953,0.0,1.45770382881,-0.00524645624682,0.0
1655121966065818574,72,1655121966065166950,/map,-0.0331130363047,0.0,1.4571365118,-0.00567228207365,0.0
1655121966167210495,73,1655121966166670083,/map,-0.0331417247653,0.0,1.45652937889,-0.00607114471495,0.0
1655121966263202977,74,1655121966262813091,/map,-0.0297917667776,0.0,1.45588505268,-0.00644399272278,0.0
1655121966363085085,75,1655121966362412929,/map,-0.0195901989937,0.0,1.45520579815,-0.00679175462574,0.0
1655121966464970721,76,1655121966464515924,/map,-0.0196217782795,0.0,1.45449435711,-0.00711533660069,0.0
1655121966561989446,77,1655121966561239004,/map,-0.0025301084388,0.0,1.45375275612,-0.00741562386975,0.0
1655121966736868009,78,1655121966736268043,/map,-0.0139410924166,0.0,1.45298337936,-0.00769348116592,0.0
1655121966816553640,79,1655121966814730882,/map,-0.0175456311554,0.0,1.45218849182,-0.00794975273311,0.0
1655121966885373551,80,1655121966884738922,/map,-0.0175769608468,0.0,1.45136988163,-0.00818525999784,0.0
1655121966961077348,81,1655121966960640907,/map,-0.00251757772639,0.0,1.45052981377,-0.00840080715716,0.0
1655121967069007930,82,1655121967068468093,/map,-0.01205773931,0.0,1.44967007637,-0.00859717652202,0.0
1655121967165452438,83,1655121967164961099,/map,-0.0128405084834,0.0,1.44879257679,-0.00877512991428,0.0
1655121967260812730,84,1655121967260392904,/map,-0.021832216531,0.0,1.44789910316,-0.00893541052938,0.0
1655121967362803810,85,1655121967362406969,/map,-0.0107588199899,0.0,1.44699120522,-0.00907874200493,0.0
1655121967462696680,86,1655121967462275028,/map,-0.0161931850016,0.0,1.44607055187,-0.0092058274895,0.0
1655121967563912006,87,1655121967563457012,/map,-0.0298290308565,0.0,1.44513881207,-0.00931735336781,0.0
1655121967666724341,88,1655121967666223049,/map,-0.0376793779433,0.0,1.44419741631,-0.0094139855355,0.0
1655121967764635247,89,1655121967764064073,/map,-0.0366431884468,0.0,1.4432477951,-0.00949637126178,0.0
1655121967870761374,90,1655121967870261907,/map,-0.0177515614778,0.0,1.44229125977,-0.00956514291465,0.0
1655121967964258306,91,1655121967963754892,/map,-0.0314103476703,0.0,1.4413292408,-0.0096209095791,0.0
