%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1658627654878202940,16817,1658627654699703042,gps,2,0,37.2405683,126.7740339,28.769,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627654878429369,16818,1658627654799703028,gps,2,0,37.2405683,126.7740339,28.783,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627654931643646,16819,1658627654899703014,gps,2,0,37.2405683,126.7740339,28.782,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627655069478416,16820,1658627654999703001,gps,2,0,37.2405683,126.7740339,28.776,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627655235714706,16821,1658627655199702972,gps,2,0,37.2405683,126.7740339,28.808,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627655345983613,16822,1658627655299702958,gps,2,0,37.2405682,126.7740339,28.786,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627655537263751,16823,1658627655499702930,gps,2,0,37.2405683,126.7740339,28.802,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000484,2
1658627655632044593,16824,1658627655599702916,gps,2,0,37.2405683,126.7740339,28.801,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627655732274534,16825,1658627655699702902,gps,2,0,37.2405683,126.7740339,28.794,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627655835047072,16826,1658627655799702888,gps,2,0,37.2405683,126.774034,28.784,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627655933853427,16827,1658627655899702874,gps,2,0,37.2405683,126.7740339,28.775,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
